Sec	h	m	s	"Flashing verb/noun-(chan11/bit6)=input required"	Prog	Noun	Verb	R1	R2	R3	FAILREG+0
369085	102	31	25	(n/a)	63	62	6	+55609	-01B43	+00000	
369087	102	31	27	(n/a)	63	62	6	+55609	-01B37	+00000	
369089	102	31	29	(n/a)	63	62	6	+55609	-01B35	+00000	
369091	102	31	31	(n/a)	63	62	6	+55609	-01B33	+00000	
369093	102	31	33	(n/a)	63	62	6	+55609	-01B37	+00000	
369095	102	31	35	(n/a)	63	62	6	+55609	-01B29	+00000	
369097	102	31	37	(n/a)	63	62	6	+55609	-01B27	+00000	
369060	102	31		(n/a)	63	62	6	+55609	-01B23	+00000	
369060	102	31		(n/a)	63	62	6	+55609	-01B21	+00000	
369060	102	31		(n/a)	63	62	6	+55609	-01B19	+00000	
369107	102	31	47	(n/a)	63	62	6	+55609	-01B17	+00000	
369109	102	31	49	(n/a)	63	62	6	+55609	-01B15	+00000	
369111	102	31	51	(n/a)	63	62	6	+55609	-01B13	+00000	
369113	102	31	53	(n/a)	63	62	6	+55609	-01B11	+00000	
369115	102	31	55	(n/a)	63	62	6	+55609	-01B9	+00000	
369117	102	31	57	(n/a)	63	62	6	+55609	-01B07	+00000	
369119	102	31	59	(n/a)	63	62	6	+55609	-01B05	+00000	
369121	102	32	1	(n/a)	63	62	6	+55609	-01B03	+00000	
369123	102	32	3	(n/a)	63	62	6	+55609	-01B01	+00000	
369125	102	32	5	(n/a)	63	62	6	+55609	00B59	+00000	
369127	102	32	7	(n/a)	63	62	6	+55609	00B57	+00000	
369129	102	32	9	(n/a)	63	62	6	+55609	00B55	+00000	
369131	102	32	11	(n/a)	63	62	6	+55609	00B53	+00000	
369133	102	32	13	(n/a)	63	62	6	+55609	00B51	+00000	
369135	102	32	15	norm	63	62	6	+55609	00B49	+00000	
369137	102	32	17	(n/a)	63	62	6	+55609	00B47	+00000	
369139	102	32	19	(n/a)	63	62	6	+55609	00B45	+00000	
369141	102	32	21	(n/a)	63	62	6	+55609	00B43	+00000	
369143	102	32	23	(n/a)	63	62	6	+55609	00B41	+00000	
369145	102	32	25	(n/a)	63	62	6	+55609	00B41	+00000	
369147	102	32	27	(n/a)	63	62	6	+55609	00B37	+00000	
369149	102	32	29	(n/a)	63	62	6	+55609	00B35	+00000	
369120	102	32		(n/a)	63	62	6	+55609			
369120	102	32		(n/a)	63	62	6	+55609	00B29	+00000	
369157	102	32	37	(n/a)	63	62	6	+55609	00B27	+00000	
369159	102	32	39	(n/a)	63	62	6	+55609	00B25	+00000	
369161	102	32	41	(n/a)	63	62	6	+55609	00B25	+00000	
369163	102	32	43	(n/a)	63	62	6	+55609	00B25	+00000	
369165	102	32	45	(n/a)	63	62	6	+55609	00B19	+00001	
369167	102	32	47	norm	63	62	6	+55610	00B17	+00001	
369169	102	32	49	norm	63	62	6	+55610	00B15	+00002	
369173	102	32	53	(n/a)	63	62	6	+55610	00B9	+00002	
369177	102	32	57	(n/a)	63	62	6	+55610			
369179	102	32	59	FLASHING	63	62	6	+55607	00B05	+00005	
369181	102	33	1	norm	63	62	6				
369183	102	33	3	norm	63	62	6	+55600	00B01	+00012	
369185	102	33	5	(n/a)	63	63	6	+55597	-00022	+49971	
369187	102	33	7	norm	63	63	6	+55590	-00018	+49967	
369189	102	33	9	norm	63	63	6	+55567	-00018	+49963	
369191	102	33	11	(n/a)	63	63	6	+55543	-00017	+49960	
369243	102	34	3	norm	63	63	6	+52256	-00123	+49691	
369245	102	34	5	(n/a)	63	63	6	+52059	-00130	+49665	
369247	102	34	7	norm	63	63	6	+51862	-00137	+49639	
369249	102	34	9	(n/a)	63	63	6	+51664	-00143	+49611	
369251	102	34	11	norm	63	63	6	+51467	-00149	+49582	
369253	102	34	13	(n/a)	63	63	6	+51269	-00154	+49551	
369255	102	34	15	norm	63	63	6	+51070	-00159	+49520	
369257	102	34	17	norm	63	63	6	+51070	-00159	+49520	
369259	102	34	19	norm	63	63	6	+51070	-00159	+49520	
369261	102	34	21	norm	63	63	6	+51070	-00159	+49520	
369263	102	34	23	norm	63	63	6	+51070	-00159	+49520	
